effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),814.9801245133019,14.734203890646372,55.31212480578411,106.16051742029916,4.253965091806785e-80
fixed,NA,X_i,12.246183916110892,23.07611330760749,0.5306865914925847,50.11163418833029,0.5979801213981745
ran_pars,subj_id,sd__(Intercept),93.29269258102889,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.14222323534816195,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.01572187115769,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),78.06691791765452,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.14630763068865,NA,NA,NA,NA
fixed,NA,(Intercept),791.5896378112433,15.793680806448776,50.12065569211874,112.91287333432122,5.530617874523492e-79
fixed,NA,X_i,24.491302622933436,23.931850075880707,1.0233769033851905,49.39165329198068,0.3111160119034336
ran_pars,subj_id,sd__(Intercept),104.15113389548074,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.017670417633930686,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,29.78318663087821,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.5397268165829,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.89028881368546,NA,NA,NA,NA
fixed,NA,(Intercept),794.8170883474295,15.167045399624138,52.404213701841115,114.61806192203902,6.393920937819732e-82
fixed,NA,X_i,57.78624213719759,23.10938551319902,2.50055295084297,52.43087790668177,0.015562807201891328
ran_pars,subj_id,sd__(Intercept),101.32952068248373,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.39070857823433847,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,49.59183869380128,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.25278328710705,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.0337224663083,NA,NA,NA,NA
fixed,NA,(Intercept),805.3961382110891,16.14727428572635,49.87814809853278,110.97274775568752,7.868848494851601e-78
fixed,NA,X_i,41.16726360234558,24.893217549110517,1.6537542212503809,50.87973355401511,0.10433501920484235
ran_pars,subj_id,sd__(Intercept),105.13984633566469,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.16744265180105736,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,43.48551944386658,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),84.23379413740993,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.51845724544535,NA,NA,NA,NA
fixed,NA,(Intercept),770.6853175978284,13.358028723616473,57.69453963183108,114.67432648849206,1.452392101265138e-86
fixed,NA,X_i,72.97934242855065,20.060986174533063,3.6378741201265647,51.152748743634426,6.393921706099367e-4
ran_pars,subj_id,sd__(Intercept),90.18200301303857,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.027464949848958385,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.42617729441234,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),66.62990312334296,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.93767310146538,NA,NA,NA,NA
fixed,NA,(Intercept),813.7685644694958,13.780594184651708,59.05177625619654,134.77491969680833,3.355863073660908e-98
fixed,NA,X_i,26.8733517820571,17.275090331484957,1.5556128081760994,52.26922263756537,0.12583489160377503
ran_pars,subj_id,sd__(Intercept),109.0244027016593,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.44454645473771526,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.765668286055245,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),56.1670342524739,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.33461193594565,NA,NA,NA,NA
fixed,NA,(Intercept),799.2982210520917,15.435597616004022,51.7827842456426,124.42752848222055,4.770241046757013e-86
fixed,NA,X_i,16.16575307643621,22.433768265502604,0.7205990935234453,54.101859495096456,0.4742583860085373
ran_pars,subj_id,sd__(Intercept),109.66310867830133,NA,NA,NA,NA
